id,session,genu,bodyCC,splenium,fornix,RantLimbIC,LantLimbIC,RpostLimbIC,LpostLimbIC,RretroLenticularIC,LretroLenticularIC,RantCoronaRad,LantCoronaRad,RsupCoronaRad,LsupCoronaRad,RpostCoronaRad,LpostCoronaRad,RpostThalRad,LpostThalRad,RSagStratum,LSagStratum,REC,LEC,Rcing,Lcing,RhippCing,LhippCing,RsupLongFasc,LsupLongFasc,Runcinate,Luncinate
PH_104,F0,0.00089139,0.0010564,0.00077407,0.0018747,0.00081542,0.00083714,0.00076254,0.00082567,0.00078429,0.00085279,0.00081303,0.00079839,0.00078628,0.0008175,0.00078996,0.00085917,0.00076049,0.00080853,0.00079975,0.00081421,0.00081274,0.0008128,0.00078946,0.00079374,0.00079327,0.00085916,0.00073733,0.00076442,0.00077284,0.00078549
PH_105,F0,0.00087119,0.0010512,0.00082793,0.001481,0.0008338,0.00083051,0.00077799,0.00079132,0.00081308,0.00082364,0.00082593,0.00081148,0.00080979,0.00083507,0.00086366,0.00092953,0.0009104,0.00098582,0.00084292,0.00086343,0.00082006,0.00084584,0.00080062,0.0007991,0.00078821,0.00084105,0.00076844,0.00077293,0.000771,0.00078256
PH_106,F0,0.0009741,0.0011194,0.00085683,0.0016641,0.00083296,0.00084528,0.00076213,0.00077071,0.00079346,0.00084071,0.00082211,0.00083852,0.00079182,0.00082374,0.00081862,0.00083345,0.00083115,0.0008652,0.00082328,0.00088833,0.00083712,0.00086279,0.00078707,0.00083093,0.0008114,0.0009125,0.00076099,0.00078804,0.00080902,0.00081637
PH_107,F0,0.00087675,0.0010495,0.00085018,0.0016774,0.00083045,0.00082629,0.00077415,0.00078394,0.00079929,0.00080617,0.00083811,0.00083896,0.00079249,0.0007895,0.00085416,0.00086634,0.00086229,0.00088937,0.00082826,0.00084708,0.00083242,0.00083297,0.00078611,0.00080353,0.00081281,0.00085031,0.00076996,0.00076416,0.00080418,0.00081619
PH_108,F0,0.00091244,0.00107,0.00077371,0.0022541,0.0008133,0.0008097,0.00077109,0.00080198,0.00081725,0.00085385,0.00082272,0.00081022,0.00081912,0.00083763,0.00083154,0.0008515,0.00080668,0.00083343,0.00081054,0.00083697,0.00080731,0.00082662,0.00080076,0.00078198,0.00080365,0.0008104,0.00074701,0.00076688,0.00076742,0.00079726
PH_109,F0,0.00089544,0.0010558,0.00086021,0.0021686,0.00083586,0.0008106,0.00078857,0.00080237,0.00078254,0.00081273,0.0007863,0.00080062,0.00078671,0.00078406,0.0008095,0.00082926,0.00086258,0.00091481,0.00081664,0.00085368,0.00080922,0.00081707,0.00080532,0.00079968,0.00080547,0.000848,0.00073192,0.00077659,0.00079817,0.00081663
PH_110,F0,0.00084442,0.0010066,0.00083195,0.0012531,0.00081977,0.00080815,0.00078247,0.00080773,0.00079047,0.00083243,0.00079102,0.00080084,0.00078252,0.00079313,0.00080011,0.00085653,0.00077023,0.00081959,0.00080293,0.00081869,0.00082504,0.00082609,0.00081847,0.0008274,0.00082147,0.00091089,0.0007448,0.00079224,0.00079201,0.00082994
PH_111,F0,0.00087484,0.0010473,0.00077328,0.0013838,0.0008055,0.00081831,0.00077058,0.0007953,0.00080072,0.00082972,0.00083088,0.00081868,0.00079936,0.00082136,0.00080971,0.0008417,0.00081213,0.00083358,0.0008316,0.00084015,0.00082229,0.00081382,0.0007872,0.0008433,0.00085783,0.00085733,0.00076018,0.00077699,0.00082536,0.00078237
PH_001,F1,0.00084188,0.00089375,0.00078679,0.0012075,0.00079892,0.00080369,0.00079412,0.00079412,0.00080788,0.00081583,0.00081232,0.00080393,0.00078031,0.00078486,0.00078446,0.00079001,0.00080976,0.00084058,0.00083198,0.00085642,0.0008405,0.00081984,0.0007739,0.00079035,0.0007811,0.00081628,0.00075937,0.00077409,0.00082552,0.00081867
PH_002,F1,0.00093546,0.0011156,0.00092664,0.0017768,0.00084709,0.00082413,0.00081498,0.0008327,0.0008834,0.00090799,0.0008753,0.00087923,0.000847,0.00084776,0.00092446,0.00098006,0.00088003,0.00092494,0.00092033,0.00097165,0.00087938,0.00086525,0.00085032,0.00087564,0.00084305,0.00094084,0.00082554,0.00083639,0.00086534,0.00088483
PH_003,F1,0.00085528,0.00098079,0.00079282,0.0011423,0.00081465,0.00079299,0.00077603,0.00077323,0.00078044,0.00082096,0.00081269,0.00082157,0.00076002,0.00077823,0.0007834,0.00081771,0.00081209,0.0008349,0.00080458,0.0008474,0.00080448,0.00082042,0.00077646,0.00081543,0.00075484,0.00081066,0.00075175,0.00079391,0.00079802,0.00080838
PH_004,F1,0.00088919,0.0010635,0.00082521,0.0015702,0.00084397,0.00080767,0.00077305,0.00078601,0.00078758,0.00086362,0.00085221,0.00086855,0.00077309,0.0008157,0.00078612,0.0008312,0.00084479,0.00088806,0.00085554,0.00087484,0.00084679,0.00085016,0.00081625,0.00088156,0.00086933,0.00089888,0.00077696,0.00080168,0.0008106,0.00079634
PH_005,F1,0.00092096,0.0010764,0.00086984,0.0017512,0.00082983,0.00082888,0.00078209,0.00082118,0.00077677,0.00081235,0.00078511,0.00078433,0.00077782,0.00079784,0.00077469,0.00082148,0.00079221,0.00085564,0.00077859,0.00082502,0.00082834,0.00085018,0.00077754,0.00081039,0.00086002,0.00083762,0.00072696,0.0007527,0.0007828,0.00076935
PH_006,F1,0.00083744,0.00096207,0.00082754,0.0015663,0.00083003,0.00082162,0.00079019,0.00080251,0.00079938,0.00081827,0.00081866,0.0008173,0.00078877,0.00079515,0.0008307,0.00085416,0.00080523,0.00086458,0.00080412,0.00083957,0.00082214,0.00081623,0.00079217,0.00080416,0.00079203,0.0007927,0.00076998,0.00077102,0.00080676,0.00080661
PH_007,F1,0.00088619,0.0010813,0.00083369,0.0015543,0.0008258,0.00081095,0.0007603,0.00075875,0.00077651,0.00080366,0.00083728,0.0008209,0.00074899,0.00076269,0.00080578,0.0008406,0.00079931,0.00087135,0.00083531,0.00084404,0.00082695,0.00084094,0.00077618,0.00078217,0.0008088,0.00083821,0.00071847,0.00075319,0.00077089,0.00077221
PH_008,F1,0.00089066,0.0010395,0.00079292,0.0018444,0.00085496,0.00084986,0.00078868,0.00083641,0.00083903,0.00087712,0.00085931,0.00086623,0.00079151,0.00085876,0.00077335,0.00084329,0.0007974,0.00085682,0.00086103,0.00089617,0.00086856,0.00087891,0.00082659,0.0008776,0.00082307,0.00090094,0.00074892,0.00082596,0.00082721,0.00082375
PH_009,F1,0.000878,0.0010112,0.00080019,0.0013858,0.0008331,0.00081845,0.0007974,0.00079434,0.00080081,0.00085634,0.00082582,0.00083008,0.00079841,0.00078325,0.00081751,0.00083996,0.00078613,0.00083538,0.00081421,0.0008729,0.0008446,0.00083352,0.00082266,0.00082834,0.00077912,0.00084351,0.00076397,0.00077613,0.00081616,0.00082013
PH_101,F1,0.00084715,0.00097227,0.00080237,0.0013167,0.00079649,0.00081183,0.00078673,0.0007653,0.00082016,0.00082414,0.00082548,0.00082163,0.00077175,0.00079397,0.00082577,0.00083649,0.00086356,0.00088954,0.00083561,0.00088436,0.00082712,0.00081904,0.00078159,0.00077829,0.00086202,0.00094902,0.00078534,0.00079668,0.00086062,0.00082508
PH_102,F1,0.00089897,0.0010555,0.0007911,0.0017238,0.00077942,0.00078533,0.00077033,0.00077735,0.00079649,0.00081078,0.00078665,0.00079881,0.00078881,0.00078156,0.00078369,0.00077523,0.00082491,0.00082407,0.00081896,0.00084535,0.00083688,0.00082135,0.00077638,0.00083121,0.00082231,0.00083971,0.00078199,0.00077638,0.00079154,0.00081448
PH_103,F1,0.00093308,0.0010603,0.00078685,0.0016048,0.00083649,0.00086452,0.00076337,0.00077398,0.00080924,0.00084525,0.00085391,0.00085773,0.00079111,0.00080797,0.00080374,0.00080189,0.00083053,0.00085728,0.00085323,0.00088293,0.0009187,0.00094067,0.00081058,0.00083257,0.00088379,0.00087665,0.00076058,0.00078366,0.00082887,0.00083938
PH_104,F1,0.00088599,0.0010549,0.0007668,0.0018025,0.00082872,0.00084229,0.00077019,0.0008333,0.0007444,0.0008704,0.00082454,0.00083014,0.00079694,0.00082763,0.00076642,0.00086908,0.00075328,0.00083521,0.00079461,0.00085115,0.00081763,0.00083195,0.00081605,0.00083961,0.00078745,0.00087403,0.00072375,0.0008026,0.00079258,0.00079963
PH_105,F1,0.00087194,0.001043,0.00085606,0.0014676,0.0008208,0.00077596,0.00076972,0.0007611,0.00079617,0.00081266,0.00081398,0.00079131,0.00079638,0.00079477,0.00086962,0.00095399,0.00089735,0.0010233,0.00084203,0.00085311,0.00080435,0.0007963,0.0008076,0.00078444,0.00081297,0.00083213,0.00075975,0.00077399,0.00076323,0.00078312
PH_106,F1,0.00091637,0.0010925,0.00082961,0.0016632,0.00080837,0.00081724,0.00074659,0.00076911,0.00078372,0.00083154,0.00082049,0.00084801,0.00075339,0.00081592,0.0008088,0.0008164,0.00085832,0.0008684,0.0007999,0.00088907,0.00081332,0.00088257,0.00075872,0.00080681,0.00083384,0.00093796,0.00074218,0.00078216,0.00082635,0.00083971
PH_107,F1,0.00088795,0.0010403,0.00082464,0.0016599,0.00083569,0.0008391,0.00077663,0.00079262,0.00078939,0.0008187,0.00084707,0.00084271,0.00078512,0.00078987,0.00085739,0.0008726,0.00085304,0.00087776,0.00083186,0.0008551,0.00082314,0.00083578,0.00078006,0.00080347,0.00084352,0.00083261,0.00076723,0.00076758,0.00079676,0.00081423
PH_108,F1,0.00092122,0.0011518,0.00085495,0.0022824,0.00082379,0.00080131,0.0007962,0.00076178,0.000823,0.00085644,0.00080766,0.00078417,0.00081596,0.00084402,0.00087105,0.00089011,0.00083251,0.00089948,0.00081866,0.00088955,0.00081398,0.00081677,0.0008367,0.00083627,0.00087894,0.00088138,0.0007475,0.00086026,0.00078615,0.0008297
PH_109,F1,0.00092253,0.0010613,0.00085422,0.0022204,0.00082441,0.00079086,0.00076639,0.00076791,0.00077576,0.00080163,0.0007887,0.00080424,0.00077423,0.00078251,0.00080687,0.00083285,0.00084595,0.00089691,0.00080543,0.00085447,0.00079982,0.00080084,0.00079683,0.00081191,0.00079504,0.00083813,0.00071753,0.00076737,0.0008087,0.00079504
PH_110,F1,0.00083382,0.00095169,0.00078381,0.0012531,0.0008031,0.00080033,0.00076151,0.0007662,0.00077881,0.00080666,0.00078704,0.00080631,0.00076565,0.00076822,0.00078593,0.00083943,0.00077832,0.00082944,0.00079472,0.00081457,0.00080163,0.00081002,0.00078498,0.00081002,0.00080308,0.00087495,0.00073179,0.00077684,0.00078805,0.00078605
PH_111,F1,0.00088238,0.0010372,0.00079314,0.0014261,0.00083061,0.00081955,0.00077377,0.00078416,0.00078695,0.00084677,0.00083678,0.00083999,0.0007945,0.00082608,0.00078097,0.0008315,0.00079401,0.00083692,0.00082692,0.00086415,0.00081294,0.00083102,0.00080716,0.0008294,0.00085182,0.00086725,0.00074818,0.00078774,0.00079734,0.00079687
PH_001,F2,0.0008393,0.00091462,0.00079385,0.0012652,0.0007921,0.00079892,0.00077305,0.0007984,0.00080034,0.00081151,0.00079843,0.00079848,0.00077639,0.00079395,0.00078612,0.00079199,0.00080813,0.00082005,0.00082566,0.00082907,0.00081912,0.00082099,0.00077163,0.00079135,0.00079264,0.00081081,0.00075566,0.00077463,0.00081295,0.00081717
PH_002,F2,0.00092034,0.0010661,0.00087159,0.0017758,0.00083281,0.00082588,0.00079293,0.00080828,0.00085863,0.00088996,0.00087279,0.00087943,0.00082222,0.0008335,0.00090251,0.00095273,0.00086533,0.00090171,0.00090391,0.0009502,0.00086422,0.00086146,0.00082916,0.0008636,0.00083009,0.00090113,0.00080268,0.00083587,0.00085369,0.00087123
