id,session,genu,bodyCC,splenium,fornix,RantLimbIC,LantLimbIC,RpostLimbIC,LpostLimbIC,RretroLenticularIC,LretroLenticularIC,RantCoronaRad,LantCoronaRad,RsupCoronaRad,LsupCoronaRad,RpostCoronaRad,LpostCoronaRad,RpostThalRad,LpostThalRad,RSagStratum,LSagStratum,REC,LEC,Rcing,Lcing,RhippCing,LhippCing,RsupLongFasc,LsupLongFasc,Runcinate,Luncinate
PH_108,F1,0.00058326,0.00086538,0.00048141,0.0020598,0.00059607,0.00058597,0.0004654,0.00043337,0.00058941,0.00065042,0.00061634,0.00060468,0.00062842,0.00063439,0.00067382,0.00069123,0.000588,0.00066475,0.00060308,0.0006901,0.00063812,0.00063565,0.00066902,0.00067007,0.0007387,0.00073475,0.00058619,0.0007098,0.00059761,0.00062683
PH_109,F1,0.00051926,0.00076558,0.00041727,0.00193,0.00054077,0.0005176,0.00040608,0.00039822,0.00051118,0.00053584,0.00056045,0.00057915,0.00056999,0.00057373,0.00057982,0.0006068,0.00055402,0.0005984,0.00055472,0.00060801,0.00062263,0.0006173,0.0006164,0.00061826,0.00065524,0.00068168,0.00051122,0.00056348,0.00057698,0.00054553
PH_110,F1,0.00045172,0.00063066,0.00037537,0.00094189,0.00055243,0.00056329,0.00045332,0.0004575,0.00054423,0.00058178,0.00057388,0.00057504,0.00057747,0.00057836,0.00058303,0.00063494,0.00048885,0.00051899,0.00056219,0.00058639,0.00063315,0.00063329,0.00060007,0.00062244,0.00064095,0.00071741,0.00056028,0.00059082,0.00056811,0.00056977
PH_111,F1,0.00051994,0.0007251,0.00042452,0.0011142,0.0005931,0.00059545,0.00048099,0.00050328,0.00055905,0.00059472,0.0006265,0.00063884,0.00059295,0.00063002,0.00056593,0.00063793,0.00053254,0.00058287,0.00059804,0.00064162,0.00063614,0.00065848,0.00063101,0.00062244,0.00071321,0.00072849,0.00057267,0.00059204,0.00058482,0.00058445
PH_001,F2,0.00044839,0.00057494,0.00040202,0.00094947,0.00051677,0.00054396,0.00045306,0.00045868,0.00055142,0.0005477,0.00056497,0.00056268,0.00055255,0.00055242,0.0005789,0.0005821,0.00051005,0.00053821,0.00058177,0.0005728,0.00064367,0.00063776,0.00056099,0.00056706,0.00060667,0.00061108,0.00055511,0.00056378,0.00059338,0.00058125
PH_002,F2,0.0005476,0.00074617,0.00047601,0.0014639,0.00056065,0.00056151,0.00047467,0.00049469,0.0006308,0.00064539,0.00063381,0.00066052,0.00063349,0.00062942,0.00070706,0.00075513,0.0006002,0.00064571,0.00068159,0.00072229,0.00070173,0.00070113,0.00064917,0.00066997,0.00068044,0.00072882,0.00062465,0.0006476,0.00061231,0.00066251
PH_004,F2,0.00058452,0.00075674,0.00040401,0.0012278,0.00059577,0.00068055,0.00047583,0.00052004,0.00058206,0.00062165,0.00066296,0.00064052,0.00062115,0.00063638,0.00060007,0.00064303,0.0005966,0.00061327,0.00063854,0.00067427,0.00069033,0.00068115,0.00064509,0.00068577,0.00073089,0.00079553,0.00061645,0.0005972,0.00059613,0.00062549
PH_005,F2,0.00048993,0.00074187,0.00039762,0.001319,0.00054508,0.00056081,0.00042236,0.00044879,0.00047748,0.0005357,0.00057519,0.00056174,0.00055891,0.0005653,0.0005695,0.00059906,0.00052607,0.00056938,0.00057517,0.00057607,0.0006422,0.00066584,0.00056205,0.00059604,0.00063431,0.00065777,0.00053838,0.00055469,0.00058255,0.00059209
PH_006,F2,0.00047788,0.00060952,0.00042605,0.0011867,0.00057136,0.00058482,0.00044854,0.00046866,0.00055616,0.00055062,0.00059425,0.00062229,0.00057873,0.000575,0.00060587,0.00064448,0.00052956,0.00056539,0.00062093,0.00060019,0.00067242,0.0006445,0.00061629,0.00061258,0.00061496,0.00061273,0.00058704,0.00056313,0.0006477,0.00062528
PH_007,F2,0.00061315,0.00080703,0.00047472,0.0013474,0.00059844,0.00061211,0.0004358,0.00044285,0.00057317,0.0005798,0.00065757,0.00065717,0.00056369,0.00058031,0.00064175,0.00066507,0.00062112,0.00063394,0.00066318,0.00065248,0.00069347,0.00068568,0.00063387,0.00061317,0.00070578,0.00069414,0.00056604,0.00056371,0.00055482,0.00060685
